TIME(MS),COMMAND 
3.000000	,HEATHER 
4.497000	,JOE 
5.442000	,HEATHER 
10.727000	,JOE 
11.857000	,HEATHER 
12.799000	,JOE 
13.743000	,HEATHER 
14.309000	,JOE 
16.010000	,HEATHER 
16.017000	,JOE 
21.669000	,HEATHER 
24.887000	,JOE 
25.446000	,HEATHER 
30.918000	,JOE 
33.759000	,HEATHER 
34.138000	,JOE 
35.632000	,HEATHER 
37.711000	,JOE 
37.728000	,HEATHER 
37.742000	,JOE 
38.275000	,HEATHER 
43.005000	,JOE 
46.013000	,HEATHER 
46.616000	,JOE 
50.343000	,HEATHER 
51.334000	,JOE 
53.751000	,HEATHER 
55.259000	,JOE 
57.525000	,HEATHER 
59.611000	,JOE 
63.186000	,HEATHER 
66.395000	,JOE 
67.355000	,HEATHER 
67.905000	,JOE 
67.913000	,HEATHER 
68.507000	,JOE 
69.980000	,HEATHER 
76.242000	,JOE 
76.772000	,HEATHER 
85.076000	,JOE 
85.453000	,HEATHER 
88.098000	,JOE 
91.872000	,HEATHER 
94.891000	,JOE 
96.404000	,HEATHER 
101.698000,JOE 
102.062000,HEATHER 
102.641000,JOE 
103.193000,HEATHER 
103.583000,JOE 
106.968000,HEATHER 
108.864000,JOE 
111.888000,HEATHER 
113.035000,JOE 
113.387000,HEATHER 
114.705000,JOE 
119.818000,HEATHER 
120.178000,JOE 
123.009000,HEATHER 
123.578000,JOE 
124.521000,HEATHER 
124.531000,JOE 
126.594000,HEATHER 
129.616000,JOE 
131.320000,HEATHER 
136.406000,JOE 
136.783000,HEATHER 
136.818000,JOE 
142.644000,HEATHER 
144.724000,JOE 
145.090000,HEATHER 
145.654000,JOE 
145.669000,HEATHER 
149.436000,JOE 
151.519000,HEATHER 
153.023000,JOE 
153.958000,HEATHER 
157.731000,JOE 
157.761000,HEATHER 
159.241000,JOE 
163.207000,HEATHER 
166.033000,JOE 
201.687000,HEATHER 
201.715000,JOE 
201.733000,HEATHER 
206.043000,JOE 
209.094000,HEATHER 
209.113000,JOE 
209.135000,HEATHER 
209.625000,JOE 
211.515000,HEATHER 
214.345000,JOE 
214.911000,HEATHER 
217.944000,JOE 
