TIME(MS),COMMAND
000332,JOE
000555,HEATHER
000778,JOE
001002,HEATHER
001222,JOE
001436,HEATHER
001664,JOE
001886,HEATHER
002110,JOE
002334,HEATHER
002557,JOE
002770,HEATHER
002996,JOE
003219,HEATHER
003441,JOE
007211,HEATHER
007876,JOE
008320,HEATHER
008991,JOE
009655,HEATHER
010099,JOE
010764,HEATHER
011429,JOE
011874,HEATHER
012541,JOE
012990,HEATHER
013435,JOE
013871,HEATHER
014317,JOE
015209,HEATHER
016100,JOE
016984,HEATHER
017874,JOE
018762,HEATHER
019653,JOE
020536,HEATHER
021429,JOE
022312,HEATHER
023203,JOE
024087,HEATHER
024975,JOE
025865,HEATHER
026756,JOE
027643,HEATHER
028531,JOE
029417,HEATHER
030304,JOE
031191,HEATHER
032080,JOE
032968,HEATHER
033857,JOE
034745,HEATHER
035635,JOE
036522,HEATHER
037411,JOE
038299,HEATHER
039184,JOE
040076,HEATHER
040959,JOE
041849,HEATHER
042737,JOE
043624,HEATHER
044513,JOE
045401,HEATHER
046290,JOE
047178,HEATHER
048067,JOE
048955,HEATHER
049844,JOE
050732,HEATHER
051620,JOE
052509,HEATHER
053394,JOE
054283,HEATHER
055170,JOE
056057,HEATHER
056947,JOE
057835,HEATHER
058724,JOE
059613,HEATHER
060503,JOE
061391,HEATHER
062280,JOE
063167,HEATHER
064052,JOE
064944,HEATHER
065834,JOE
066723,HEATHER
067612,JOE
068495,HEATHER
069384,JOE
070275,HEATHER
071162,JOE
072048,HEATHER
072937,JOE
073824,HEATHER
074713,JOE
075601,HEATHER
076487,JOE
077378,HEATHER
078262,JOE
079151,HEATHER
080039,JOE
080928,HEATHER
081815,JOE
082703,HEATHER
083592,JOE
084480,HEATHER
085370,JOE
086258,HEATHER
087146,JOE
088034,HEATHER
088923,JOE
089811,HEATHER
090700,JOE
091588,HEATHER
092477,JOE
093365,HEATHER
094253,JOE
095139,HEATHER
096027,JOE
096914,HEATHER
097803,JOE
098691,HEATHER
099581,JOE
100468,HEATHER
101357,JOE
102246,HEATHER
103130,JOE
104024,HEATHER
104907,JOE
105796,HEATHER
106685,JOE
107575,HEATHER
108465,JOE
109349,HEATHER
110243,JOE
111129,HEATHER
112015,JOE
112902,HEATHER
113794,JOE
114680,HEATHER
115566,JOE
116457,HEATHER
117347,JOE
118233,HEATHER
119124,JOE
120009,HEATHER
120898,JOE
121788,HEATHER
122673,JOE
123561,HEATHER
124448,JOE
125337,HEATHER
126223,JOE
127116,HEATHER
127999,JOE
128893,HEATHER
129781,JOE
130669,HEATHER
131552,JOE
132445,HEATHER
133330,JOE
134221,HEATHER
135105,JOE
135992,HEATHER
136881,JOE
137768,HEATHER
138658,JOE
139546,HEATHER
140435,JOE
141323,HEATHER
142213,JOE
143100,HEATHER
143989,JOE
144877,HEATHER
145766,JOE
146654,HEATHER
147543,JOE
148430,HEATHER
149314,JOE
150208,HEATHER
151091,JOE
151984,HEATHER
152868,JOE
153755,HEATHER
154645,JOE
155533,HEATHER
156422,JOE
157309,HEATHER
158198,JOE
159087,HEATHER
159977,JOE
160865,HEATHER
161754,JOE
162642,HEATHER
163527,JOE
164418,HEATHER
165307,JOE
166190,HEATHER
167080,JOE
167968,HEATHER
168857,JOE
169745,HEATHER
170634,JOE
171522,HEATHER
172410,JOE
173300,HEATHER
174184,JOE
175073,HEATHER
175960,JOE
176848,HEATHER
177737,JOE
178625,HEATHER
179513,JOE
180402,HEATHER
181293,JOE
182180,HEATHER
183069,JOE
183957,HEATHER
184842,JOE
185731,HEATHER
186624,JOE
187511,HEATHER
188396,JOE
189284,HEATHER
190178,JOE
191064,HEATHER
191950,JOE
192838,HEATHER
193731,JOE
194617,HEATHER
195504,JOE
196391,HEATHER
197284,JOE
198170,HEATHER
199058,JOE
199946,HEATHER
200838,JOE
201722,HEATHER
202614,JOE
203500,HEATHER
204384,JOE
205273,HEATHER
207058,JOE
207949,HEATHER
208826,JOE
209724,HEATHER
210605,JOE
211496,END
