TIME(MS),COMMAND  
9.795000,JOE 
9.832000,HEATHER 
32.156000,JOE 
35.069000,HEATHER 
35.098000,JOE 
35.751000,HEATHER 
41.133000,JOE 
41.876000,HEATHER 
44.741000,JOE 
44.758000,HEATHER 
46.275000,JOE 
60.928000,HEATHER 
61.709000,JOE 
62.780000,HEATHER 
66.230000,JOE 
66.246000,HEATHER 
66.281000,JOE 
68.338000,HEATHER 
71.921000,JOE 
74.350000,HEATHER 
77.358000,JOE 
81.149000,HEATHER 
83.382000,JOE 
86.357000,HEATHER 
86.389000,JOE 
89.307000,HEATHER 
89.685000,JOE 
90.834000,HEATHER 
94.021000,JOE 
95.040000,HEATHER 
95.071000,JOE 
95.079000,HEATHER 
95.090000,JOE 
95.119000,HEATHER 
95.743000,JOE 
105.670000,HEATHER 
